ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_REDACAO
128,517.1,591.1,579.3,340.0
129,520.6,624.3,542.3,280.0
130,471.7,623.9,452.4,320.0
131,397.3,457.7,558.8,400.0
132,493.3,640.7,584.3,580.0
133,536.1,425.7,466.1,560.0
134,404.9,563.0,512.6,620.0
135,452.8,598.5,684.5,820.0
136,524.8,653.9,618.9,560.0
137,491.5,553.4,476.3,580.0
138,414.4,471.4,435.9,500.0
139,414.6,485.6,506.0,520.0
140,417.7,562.9,500.4,480.0
141,439.3,586.9,511.8,0.0
142,456.7,542.5,384.9,680.0
143,546.1,555.9,464.4,560.0
144,400.2,603.7,488.3,660.0
145,538.4,658.5,693.2,660.0
146,688.3,746.8,810.4,940.0
147,559.5,607.1,536.3,740.0
148,479.1,502.6,480.0,600.0
149,582.5,637.3,549.6,540.0
150,547.1,680.6,708.2,640.0
151,421.1,567.9,420.0,320.0
152,519.8,663.9,519.2,840.0
153,432.7,624.5,511.6,340.0
154,471.0,629.6,470.2,360.0
155,448.8,603.0,689.6,660.0
156,438.1,532.0,390.5,340.0
157,469.3,576.8,473.5,0.0
158,414.3,530.0,401.2,360.0
159,624.1,673.2,764.4,620.0
160,664.2,662.2,705.6,920.0
161,713.2,677.0,734.9,940.0
162,635.3,615.9,816.9,640.0
163,416.1,424.0,453.0,240.0
164,396.6,435.9,395.8,520.0
165,474.5,563.2,489.9,540.0
166,522.7,623.7,553.9,360.0
167,489.7,636.0,465.9,560.0
168,548.8,643.7,454.0,600.0
169,534.7,640.7,737.5,660.0
170,611.4,662.5,610.3,600.0
171,398.2,405.4,418.4,0.0
172,610.2,666.5,535.1,400.0
173,417.4,503.8,500.1,340.0
174,595.9,630.0,460.9,600.0
175,414.6,544.4,505.9,360.0
176,561.4,658.8,459.1,600.0
177,449.5,559.8,498.1,600.0
178,578.7,472.3,710.4,680.0
179,612.0,512.3,712.0,660.0
180,446.5,540.1,500.8,400.0
181,456.4,594.8,440.2,360.0
182,454.6,548.8,469.7,720.0
183,439.5,540.3,547.4,600.0
184,454.4,563.7,453.9,560.0
185,646.0,606.4,734.7,880.0
186,436.4,568.1,554.5,320.0
187,608.1,679.3,704.6,620.0
188,442.1,524.5,589.0,340.0
189,476.4,501.9,457.7,580.0
190,495.8,603.4,392.1,540.0
191,513.9,468.7,445.3,520.0
192,451.7,569.7,515.2,640.0
193,504.7,668.8,674.7,680.0
194,525.5,643.0,604.2,560.0
195,473.1,597.4,535.9,600.0
196,452.8,462.6,446.4,560.0
197,553.9,640.5,531.8,640.0
198,411.4,588.6,575.5,640.0
199,520.6,599.9,638.2,520.0
200,388.5,500.8,497.3,360.0
201,581.9,677.3,509.1,880.0
202,503.4,611.9,589.6,540.0
203,371.0,462.8,421.6,360.0
204,472.0,623.5,524.4,460.0
205,403.8,436.0,511.7,300.0
206,481.5,585.5,512.7,740.0
207,432.4,454.5,499.4,280.0
208,484.0,640.1,699.7,600.0
209,604.0,674.3,682.0,700.0
210,493.6,560.9,384.5,340.0
211,453.0,607.9,617.1,360.0
212,378.7,619.6,519.0,600.0
213,532.0,502.7,572.2,280.0
214,456.9,597.8,529.2,580.0
215,601.7,650.9,742.4,660.0
216,531.9,638.3,607.9,380.0
217,407.8,552.5,476.2,480.0
218,504.9,611.3,386.0,620.0
219,591.6,485.6,597.6,620.0
220,425.0,601.0,526.0,440.0
221,491.6,512.1,487.0,340.0
222,547.0,610.0,441.8,300.0
223,613.8,519.3,429.4,600.0
224,409.2,522.0,395.7,780.0
225,561.8,581.2,597.6,500.0
226,605.5,616.8,625.0,520.0
227,542.2,669.2,596.2,800.0
228,590.0,682.7,588.0,840.0
229,496.6,653.7,498.2,340.0
230,378.1,514.9,456.7,280.0
231,503.7,597.7,569.7,740.0
232,500.2,469.7,376.1,340.0
233,569.5,557.4,461.2,740.0
234,573.5,643.2,537.7,600.0
235,467.4,556.6,462.0,560.0
236,390.7,554.9,712.8,580.0
237,424.9,465.5,450.4,520.0
238,409.7,546.6,383.0,520.0
239,449.2,572.5,545.9,560.0
240,553.1,657.8,526.7,580.0
241,641.8,656.5,818.3,880.0
242,447.7,585.6,550.2,340.0
243,549.4,446.9,578.4,560.0
244,648.1,693.5,717.5,960.0
245,495.9,510.9,625.3,840.0
246,594.1,658.2,458.6,540.0
247,450.8,488.2,631.5,380.0
248,373.3,400.2,415.6,520.0
249,485.2,630.8,592.1,520.0
250,555.4,650.5,521.0,620.0
251,569.9,622.2,487.2,340.0
252,437.6,446.7,402.1,200.0
253,464.5,626.8,497.4,560.0
254,426.4,508.2,517.4,300.0
255,473.8,423.5,527.0,640.0
256,523.4,642.8,526.5,500.0
257,567.8,617.3,702.0,580.0
258,422.3,519.7,468.9,460.0
259,525.7,596.5,503.0,740.0
260,465.9,417.6,489.5,460.0
261,409.4,474.5,410.7,340.0
262,432.9,583.2,519.1,360.0
263,469.7,447.1,593.9,460.0
264,470.5,610.0,388.6,620.0
265,570.0,535.0,430.9,360.0
266,544.7,625.9,533.4,560.0
267,472.8,536.1,435.0,340.0
268,437.2,478.3,544.5,260.0
269,432.4,407.3,392.1,360.0
270,558.9,646.7,673.4,640.0
271,450.1,442.8,476.1,280.0
272,430.5,510.1,517.6,540.0
273,631.0,637.2,718.8,600.0
274,447.7,597.2,539.1,440.0
275,504.9,630.6,511.4,860.0
276,489.0,471.4,440.0,360.0
277,567.8,656.0,599.1,620.0
278,435.6,631.1,464.9,0.0
279,568.3,610.9,409.1,580.0
280,494.9,631.8,500.5,560.0
281,583.6,501.0,506.6,520.0
282,481.7,620.9,543.7,360.0
283,407.8,639.9,436.4,620.0
284,585.9,615.4,625.4,680.0
285,387.9,553.8,498.6,480.0
286,561.3,678.5,674.9,700.0
287,417.7,555.2,506.6,320.0
288,453.0,473.9,548.4,460.0
289,407.1,417.4,394.6,320.0
290,472.5,548.6,463.9,380.0
291,459.3,579.5,539.2,420.0
292,384.2,455.4,432.2,260.0
293,614.4,646.9,580.3,700.0
294,415.8,406.3,439.8,260.0
295,622.8,685.5,751.9,960.0
296,446.5,570.7,522.3,540.0
297,426.4,561.2,535.1,240.0
298,431.7,621.3,633.9,580.0
299,599.3,696.4,569.0,640.0
300,529.6,667.6,602.0,580.0
301,436.8,434.7,545.3,480.0
302,488.7,490.5,515.5,500.0
303,589.9,666.6,576.7,760.0
304,504.9,555.7,537.1,640.0
305,486.2,609.7,642.3,700.0
306,477.8,567.5,575.0,480.0
307,641.2,658.8,693.4,820.0
308,445.0,609.7,637.7,460.0
309,511.2,652.9,466.3,660.0
310,601.7,638.1,672.2,760.0
311,582.6,659.3,674.0,700.0
312,398.2,429.3,395.8,0.0
313,395.7,470.1,472.3,300.0
314,581.9,640.4,641.1,260.0
315,719.5,672.8,866.6,760.0
316,513.3,485.9,450.0,340.0
317,490.8,534.8,560.7,680.0
318,450.7,500.6,458.7,260.0
319,581.6,634.8,468.0,660.0
320,453.9,516.1,516.2,320.0
321,571.7,631.6,664.1,940.0
322,684.9,669.6,771.6,920.0
323,597.9,642.2,660.8,860.0
324,559.3,597.7,606.7,780.0
325,429.6,516.6,488.9,420.0
326,557.3,623.4,539.1,940.0
327,587.2,646.1,535.5,360.0
328,461.1,494.6,541.5,360.0
329,382.7,531.9,522.9,480.0
330,366.6,635.8,539.6,360.0
331,449.7,678.5,439.9,620.0
332,603.5,651.3,449.8,640.0
333,416.1,530.0,540.4,620.0
334,474.3,581.2,612.5,540.0
335,437.6,494.6,502.2,460.0
336,562.3,612.6,628.1,760.0
337,501.8,518.6,547.0,460.0
338,396.6,475.8,440.7,300.0
339,389.1,414.6,461.3,420.0
340,579.6,592.0,511.2,720.0
341,524.2,487.2,423.7,640.0
342,471.6,576.5,459.1,320.0
343,392.6,419.3,514.3,360.0
344,419.0,539.0,436.6,380.0
345,450.8,611.0,707.4,600.0
346,564.8,589.7,393.5,280.0
347,597.1,633.0,487.3,520.0
348,462.4,668.7,694.6,740.0
349,521.8,660.8,701.9,920.0
350,449.1,629.5,539.4,340.0
351,563.5,636.6,458.1,540.0
352,503.6,627.9,592.1,500.0
353,570.6,612.8,562.3,700.0
354,450.8,638.7,782.3,580.0
355,424.7,611.7,476.2,320.0
356,426.1,450.0,411.2,0.0
357,413.6,562.5,542.7,440.0
358,434.6,641.8,705.9,560.0
359,571.9,635.4,694.6,440.0
360,520.6,560.9,469.1,600.0
361,429.3,488.4,541.0,560.0
362,508.2,628.4,706.9,800.0
363,444.1,522.1,524.2,360.0
364,528.4,654.0,697.9,560.0
365,416.1,606.6,422.1,340.0
366,486.1,419.2,662.3,0.0
367,418.0,660.7,547.7,780.0
368,428.1,573.9,513.7,460.0
369,483.9,592.2,388.1,480.0
370,443.6,487.0,429.0,440.0
371,539.6,592.6,616.9,640.0
372,395.7,422.9,453.3,360.0
373,483.9,536.2,519.6,480.0
374,495.5,472.9,661.4,560.0
375,452.3,585.6,524.0,500.0
376,378.9,539.3,427.0,300.0
377,499.4,577.2,554.9,360.0
378,559.6,566.4,496.1,400.0
379,379.5,560.5,434.7,0.0
380,451.3,436.8,413.5,680.0
381,430.4,540.4,430.3,480.0
382,389.6,427.3,501.6,0.0
383,466.2,417.8,486.8,560.0
384,424.5,604.7,658.3,480.0
385,474.0,667.1,629.5,860.0
386,400.8,604.8,530.9,600.0
387,673.9,716.7,771.8,800.0
388,619.0,648.1,695.4,720.0
389,453.9,405.0,470.4,300.0
390,425.5,589.2,504.9,460.0
391,437.5,478.1,562.8,340.0
392,473.3,595.9,521.5,360.0
393,382.8,458.7,543.4,300.0
394,564.6,611.3,411.0,600.0
395,461.9,418.1,430.1,460.0
396,630.3,651.4,703.6,600.0
397,383.5,454.2,397.0,240.0
398,536.4,655.1,597.5,500.0
399,596.7,669.6,631.4,560.0
400,417.5,399.3,478.7,400.0
401,521.0,604.4,435.5,360.0
402,485.1,571.7,653.0,560.0
403,394.6,594.7,439.0,340.0
404,619.3,612.6,591.3,660.0
405,538.9,427.8,521.9,300.0
406,560.8,574.9,543.3,320.0
407,468.0,594.4,423.7,360.0
408,688.2,721.9,743.4,900.0
409,425.1,424.7,463.5,300.0
410,391.3,624.5,415.2,340.0
411,554.9,669.7,750.6,940.0
412,535.0,621.0,583.1,480.0
413,475.2,622.0,465.3,360.0
414,569.8,598.6,507.5,440.0
415,594.7,657.6,475.6,480.0
416,542.9,577.9,441.9,520.0
417,659.4,711.0,756.8,900.0
418,403.2,515.4,445.4,320.0
419,505.8,551.3,421.2,280.0
420,432.3,527.0,463.0,560.0
421,402.2,551.4,492.7,340.0
422,438.3,614.5,561.9,520.0
423,485.5,616.8,502.5,560.0
424,571.8,637.0,557.4,620.0
425,627.8,631.7,668.5,880.0
426,522.3,641.6,653.7,640.0
427,561.6,609.7,505.1,480.0
428,434.6,611.5,535.2,660.0
429,456.5,567.0,500.1,520.0
430,557.9,642.7,709.0,680.0
431,451.4,558.5,618.9,480.0
432,428.6,542.5,649.5,420.0
433,429.1,443.5,445.0,280.0
434,446.8,480.3,588.7,320.0
435,430.6,494.6,435.7,600.0
436,525.3,503.5,509.1,480.0
437,538.0,639.9,435.6,560.0
438,443.0,642.3,632.4,740.0
439,626.1,655.9,639.2,680.0
440,414.8,415.0,519.7,520.0
441,445.5,534.4,540.9,340.0
442,537.6,642.1,678.3,560.0
443,426.9,463.2,441.5,400.0
444,508.3,587.5,599.5,520.0
445,493.8,576.5,485.4,480.0
446,514.7,519.8,466.7,380.0
447,595.6,633.7,637.4,580.0
448,511.1,551.9,476.4,560.0
449,508.2,617.9,546.1,640.0
450,417.6,588.8,477.0,480.0
451,539.4,515.2,540.5,400.0
452,410.9,619.1,554.9,0.0
453,501.9,528.7,665.0,380.0
454,607.3,675.2,805.2,840.0
455,408.5,420.0,399.8,520.0
456,440.3,552.1,580.6,260.0
457,511.2,647.2,632.9,700.0
458,453.3,612.5,474.6,560.0
459,413.9,592.4,474.0,560.0
460,503.4,569.1,589.7,360.0
461,530.7,600.2,559.3,540.0
462,391.2,480.9,433.8,540.0
463,469.2,532.0,493.4,300.0
464,478.7,619.5,380.6,300.0
465,490.1,584.6,558.5,540.0
466,599.3,627.7,601.7,600.0
467,562.2,626.9,670.0,720.0
468,388.9,403.1,395.6,360.0
469,401.4,568.2,463.8,320.0
470,475.2,547.4,482.3,320.0
471,444.8,591.5,458.7,500.0
472,563.2,583.6,635.8,700.0
473,570.8,651.0,457.4,580.0
474,458.4,642.2,496.8,500.0
475,449.8,485.6,511.8,360.0
476,493.6,522.3,503.6,580.0
477,402.3,494.9,393.0,320.0
478,446.3,600.5,561.8,520.0
479,467.7,467.0,478.6,340.0
480,606.8,568.8,516.8,600.0
481,463.5,458.2,433.2,280.0
482,540.2,476.2,607.9,660.0
483,544.8,560.9,535.2,560.0
484,544.6,578.4,512.0,680.0
485,598.5,573.4,508.7,400.0
486,474.6,615.9,641.6,740.0
487,473.6,487.4,501.2,640.0
488,627.1,655.3,756.2,780.0
489,504.9,645.7,531.7,640.0
490,438.0,609.7,587.3,740.0
491,609.6,462.3,458.2,360.0
492,476.0,471.9,476.2,280.0
493,463.0,578.3,518.6,340.0
494,430.2,465.3,506.0,620.0
495,404.3,573.5,476.2,340.0
496,572.2,644.1,704.8,800.0
497,388.8,645.8,677.0,480.0
498,618.3,674.2,688.7,760.0
499,549.3,494.6,663.5,560.0
500,511.5,636.7,451.8,560.0
501,474.7,511.5,478.5,640.0
502,497.0,491.6,414.5,240.0
503,461.0,557.0,472.3,640.0
504,460.2,616.3,416.5,620.0
505,504.8,532.1,530.8,480.0
506,536.6,645.9,576.8,680.0
507,522.7,651.2,613.9,600.0
508,650.5,694.3,823.5,960.0
509,406.0,517.3,402.2,320.0
510,610.2,633.9,533.5,720.0
511,691.7,762.7,813.4,920.0
512,449.9,527.1,527.5,320.0
513,484.0,599.3,607.8,300.0
514,588.6,627.2,615.6,640.0
515,601.8,642.8,626.0,640.0
516,420.5,451.0,410.0,360.0
517,466.2,469.5,527.9,480.0
518,520.4,621.5,493.4,660.0
519,476.2,503.5,613.7,580.0
520,391.1,595.3,513.0,280.0
521,415.6,574.0,425.9,560.0
522,508.6,554.3,649.4,760.0
523,448.2,402.8,444.3,260.0
524,491.0,602.2,538.3,520.0
525,500.0,599.3,424.2,600.0
526,585.3,714.6,709.1,780.0
527,488.9,630.5,549.4,640.0
528,426.2,616.0,444.4,620.0
529,439.7,543.9,455.7,400.0
530,411.5,522.6,446.7,360.0
531,558.5,614.0,467.1,580.0
532,627.1,693.3,732.8,920.0
533,546.1,659.7,640.7,600.0
534,494.6,640.5,664.8,400.0
535,465.0,558.8,489.1,620.0
536,426.8,526.4,409.3,320.0
537,468.8,418.2,443.1,420.0
538,440.5,557.9,447.1,340.0
539,430.7,434.3,531.9,360.0
540,492.9,654.3,595.4,720.0
541,652.9,728.0,799.8,940.0
542,507.5,553.9,651.0,560.0
543,660.8,680.5,779.1,820.0
544,403.8,582.8,455.0,620.0
545,471.8,434.4,424.0,300.0
546,580.2,619.7,488.3,0.0
547,542.9,407.6,558.5,300.0
548,564.1,655.1,648.7,640.0
549,408.4,571.3,569.2,580.0
550,420.8,600.7,530.0,720.0
551,564.5,698.5,644.4,620.0
552,474.0,548.8,508.5,580.0
553,616.8,650.9,735.0,620.0
554,598.2,652.5,466.8,520.0
555,558.6,664.0,704.5,600.0
556,487.8,583.3,521.4,520.0
557,459.4,651.5,684.2,540.0
558,437.1,484.6,477.8,380.0
559,503.9,525.8,477.5,320.0
560,424.6,433.9,436.7,560.0
561,602.6,661.3,745.5,640.0
562,477.5,592.8,411.7,560.0
563,428.6,575.1,495.6,360.0
564,518.2,499.2,630.0,540.0
565,562.9,609.5,545.9,340.0
566,504.0,474.3,520.0,680.0
567,434.3,594.8,489.1,620.0
568,743.6,718.3,738.7,940.0
569,421.8,627.3,534.1,740.0
570,458.8,563.5,415.4,340.0
571,493.7,661.0,688.2,520.0
572,524.1,682.0,579.2,840.0
573,379.9,473.4,487.9,500.0
574,448.6,627.7,567.6,380.0
575,515.4,611.5,526.4,480.0
576,503.5,655.8,599.5,600.0
577,574.5,621.6,669.3,720.0
578,466.8,593.3,526.9,580.0
579,708.0,710.1,834.9,900.0
580,413.9,443.3,603.1,480.0
581,478.0,547.3,452.5,440.0
582,541.5,631.7,708.3,600.0
583,541.8,535.1,520.3,860.0
584,593.7,665.4,685.9,620.0
585,562.9,650.8,597.4,840.0
586,653.4,682.3,680.7,820.0
587,432.1,457.5,447.0,400.0
588,474.0,556.1,446.4,400.0
589,465.4,642.9,498.4,600.0
590,658.7,699.4,641.7,800.0
591,608.5,680.7,636.8,520.0
592,492.9,543.4,615.1,360.0
593,428.9,520.4,390.2,540.0
594,393.3,510.1,524.5,380.0
595,500.4,451.3,535.1,500.0
596,550.3,631.7,465.5,840.0
597,534.6,606.9,581.5,380.0
598,575.0,641.6,643.1,600.0
599,529.0,656.1,644.9,720.0
600,470.9,578.0,604.3,700.0
601,433.6,486.8,544.2,220.0
602,442.3,448.5,383.8,560.0
603,424.2,602.6,513.9,580.0
604,469.2,584.6,380.9,340.0
605,516.1,552.0,451.5,300.0
606,466.8,631.8,506.8,380.0
607,409.9,458.2,435.1,340.0
608,498.9,617.4,522.4,780.0
609,554.8,658.0,708.1,580.0
610,536.0,601.3,737.8,660.0
611,593.8,512.0,543.9,600.0
612,444.9,467.3,386.3,340.0
613,444.2,538.2,566.9,480.0
614,377.5,494.7,598.2,500.0
615,489.3,595.2,582.0,560.0
616,640.4,673.3,681.7,760.0
617,589.8,623.7,445.3,620.0
618,436.3,433.8,538.1,680.0
619,373.8,458.0,477.0,520.0
620,380.5,423.7,536.3,300.0
621,431.1,532.6,475.0,440.0
622,439.9,532.8,488.2,0.0
623,452.8,580.4,548.0,700.0
624,399.9,527.3,516.0,360.0
625,543.6,598.7,651.9,540.0
626,435.3,464.3,377.3,360.0
627,428.4,631.9,567.3,520.0
628,464.9,609.9,394.4,320.0
629,503.9,587.0,373.1,480.0
630,433.4,628.3,413.4,480.0
631,541.7,623.6,408.4,560.0
632,566.8,491.1,433.5,560.0
633,496.7,527.3,502.6,540.0
634,503.8,602.1,429.0,600.0
635,582.6,644.1,607.8,540.0
636,465.8,606.7,504.6,560.0
637,492.8,522.9,418.5,480.0
638,575.1,692.8,684.6,760.0
639,662.5,702.3,580.3,760.0
640,489.4,591.3,422.6,320.0
641,406.8,600.4,627.5,880.0
642,523.6,616.5,494.4,520.0
643,432.7,563.0,497.7,0.0
644,483.2,462.6,566.7,480.0
645,409.3,419.3,637.6,580.0
646,477.9,623.6,637.4,860.0
647,459.1,614.8,614.5,300.0
648,443.2,513.6,491.1,300.0
649,424.1,492.8,393.4,520.0
650,560.3,632.0,607.9,360.0
651,548.5,608.1,586.3,620.0
652,454.1,653.7,428.5,440.0
653,466.4,598.4,603.2,560.0
654,537.3,651.6,476.7,520.0
655,592.2,639.0,565.3,580.0
656,502.3,638.0,554.0,580.0
657,462.1,491.6,506.0,520.0
658,432.5,446.9,439.0,540.0
659,589.9,642.6,401.4,520.0
660,404.2,565.3,483.2,340.0
661,508.4,610.6,561.8,580.0
662,454.9,595.2,431.8,280.0
663,598.8,663.7,730.8,840.0
664,474.5,619.4,531.3,580.0
665,626.8,645.2,659.4,540.0
666,451.4,569.9,452.9,420.0
667,679.6,645.8,786.3,660.0
668,453.6,637.6,607.8,560.0
669,504.3,575.0,475.9,540.0
670,381.6,488.8,391.0,540.0
671,714.3,690.4,747.9,860.0
672,400.1,615.7,543.4,620.0
673,500.7,637.8,565.6,740.0
674,550.1,555.4,416.1,340.0
675,447.7,501.5,463.6,520.0
676,501.0,626.9,543.9,340.0
677,433.3,528.4,517.8,500.0
678,376.7,648.4,661.7,600.0
679,532.0,621.6,443.9,400.0
680,503.3,463.5,595.2,620.0
681,558.8,406.0,419.5,720.0
682,443.7,522.2,392.3,280.0
683,644.9,604.8,733.4,860.0
684,531.6,508.7,418.1,400.0
685,577.8,663.6,663.1,540.0
686,399.3,534.0,530.8,480.0
687,572.0,502.6,405.9,760.0
688,386.6,525.7,464.8,520.0
689,600.1,647.1,611.4,480.0
690,420.9,570.5,502.3,440.0
691,456.8,450.4,531.9,300.0
692,446.2,399.3,428.7,240.0
693,551.7,655.9,723.6,540.0
694,398.0,598.3,587.3,140.0
695,446.2,605.8,402.1,500.0
696,485.7,576.9,603.2,560.0
697,465.8,533.1,550.7,260.0
698,638.8,628.5,705.4,820.0
699,554.8,620.2,606.5,640.0
700,508.3,589.3,494.6,580.0
701,575.0,580.1,618.2,640.0
702,579.0,675.7,713.4,600.0
703,447.6,547.1,458.2,800.0
704,558.4,625.3,565.1,620.0
705,564.7,679.4,578.1,820.0
706,651.5,680.2,795.2,940.0
707,415.9,537.0,383.2,360.0
708,502.8,418.1,385.9,480.0
709,421.8,607.7,570.9,500.0
710,590.6,688.1,748.8,660.0
711,535.1,512.7,462.4,340.0
712,444.4,449.5,495.1,320.0
713,517.6,586.0,454.8,320.0
714,582.4,643.9,624.8,420.0
715,407.4,570.6,489.1,400.0
716,479.3,543.8,412.3,320.0
717,427.7,487.9,408.3,340.0
718,393.3,605.9,570.7,540.0
719,554.2,614.9,471.2,620.0
720,410.8,591.6,521.3,540.0
721,489.9,561.9,449.2,580.0
722,573.4,514.7,495.7,520.0
723,437.4,475.5,441.5,340.0
724,470.4,502.4,543.4,280.0
725,623.8,751.5,643.5,820.0
726,461.3,428.9,389.1,340.0
727,527.2,634.1,517.9,0.0
728,511.5,659.9,428.6,320.0
729,694.5,682.0,744.4,520.0
730,516.6,505.5,436.4,200.0
731,486.6,555.3,462.4,460.0
732,572.8,633.3,626.3,360.0
733,437.1,526.3,504.3,580.0
734,642.0,651.0,796.5,940.0
735,574.6,622.4,516.3,520.0
736,577.9,675.9,675.7,740.0
737,510.3,690.5,574.3,600.0
738,654.7,701.5,737.2,820.0
739,570.2,544.4,525.3,400.0
740,433.0,627.8,410.2,460.0
741,526.5,596.2,469.1,600.0
742,471.2,514.3,413.7,400.0
743,419.4,504.1,514.7,340.0
744,421.5,605.2,461.4,660.0
745,458.0,620.5,645.0,700.0
746,595.9,687.3,668.9,640.0
747,558.5,480.8,590.3,0.0
748,595.4,665.0,542.5,500.0
749,436.3,485.6,404.4,500.0
750,483.4,522.0,593.6,560.0
751,523.3,498.9,511.2,220.0
752,509.2,596.7,550.1,540.0
753,399.1,630.0,535.7,520.0
754,494.1,420.6,478.2,340.0
755,523.2,544.6,636.2,620.0
756,532.2,628.6,397.3,480.0
757,572.9,604.1,553.3,640.0
758,632.2,653.8,688.9,880.0
759,544.9,706.3,571.2,560.0
760,597.7,661.7,674.7,640.0
761,534.5,622.7,723.2,760.0
762,504.8,566.4,466.1,620.0
763,520.1,594.9,423.4,380.0
764,421.6,589.6,546.0,380.0
765,589.0,634.3,528.3,380.0
766,430.1,547.4,432.7,360.0
767,448.4,554.4,399.4,580.0
768,487.3,623.3,588.4,640.0
769,592.2,645.4,430.0,340.0
770,369.0,504.5,559.6,320.0
771,440.8,433.7,383.1,340.0
